Index_mestre;Ano;Mes;ID_MN_RESI;Nome_Municipio;Total_Casos;Populacao_2022;Incidencia_por_100k;Chuva_Total_Mensal_mm;Umidade_Media_Mensal_pct
1;2000;1;1100205;Porto Velho;0;203556;0;467,7;82,9
2;2000;1;1100452;Buritis;0;13246;0;165,3;77,6
3;2000;1;1200203;Cruzeiro do Sul;0;31869;0;331,1;83,9
4;2000;1;1200401;Rio Branco;0;148826;0;188,8;92
5;2000;1;1200609;Tarauacá;0;13618;0;194,6;89,6
6;2000;1;1300409;Barcelos;0;5446;0;275,1;92,4
7;2000;1;1300607;Benjamin Constant;0;9094;0;201;90,8
8;2000;1;1301209;Coari;0;21305;0;322,5;87
9;2000;1;1301308;Codajás;0;6655;0;395,3;80,1
10;2000;1;1301407;Eirunepé;0;9680;0;324,6;90,3
11;2000;1;1301605;Fonte Boa;0;6053;0;120;90,3
12;2000;1;1301902;Itacoatiara;0;35124;0;237,8;88,2
13;2000;1;1302405;Lábrea;0;13474;0;183,9;88,1
14;2000;1;1302603;Manaus;0;738012;0;350,2;83,9
15;2000;1;1302702;Manicoré;0;14248;0;281,8;88,7
16;2000;1;1303403;Parintins;0;29973;0;397,8;87,1
17;2000;1;1304203;Tefé;0;21101;0;404,2;95,7
18;2000;1;1400100;Boa Vista;0;133020;0;45,4;77,1
19;2000;1;1400209;Caracaraí;0;8631;0;118,8;65,6
20;2000;1;1500602;Altamira;0;54274;0;488,8;84,3
21;2000;1;1501402;Belém;0;528989;0;411,9;88,3
22;2000;1;1501451;Belterra;0;7597;0;343,9;91,2
23;2000;1;1501808;Breves;0;28115;0;242,5;89,5
24;2000;1;1502103;Cametá;0;39905;0;325,2;87,7
25;2000;1;1502707;Conceição do Araguaia;0;19636;0;344,2;91,2
26;2000;1;1503606;Itaituba;0;46002;0;262,7;90,8
27;2000;1;1504208;Marabá;0;106660;0;136,8;80,9
28;2000;1;1504802;Monte Alegre;0;24608;0;253,8;65,3
29;2000;1;1505106;Óbidos;0;19117;0;508,1;89,1
30;2000;1;1505908;Porto de Moz;0;10520;0;367;90,3
31;2000;1;1507300;São Félix do Xingu;0;26484;0;;
32;2000;1;1507904;Soure;0;9360;0;462,4;82,9
33;2000;1;1508035;Tracuateua;0;10705;0;229;87
34;2000;1;1508100;Tucuruí;0;34412;0;347,7;89,2
35;2000;1;1600105;Amapá;0;2579;0;;
36;2000;1;1600303;Macapá;0;149531;0;309,6;83,9
37;2000;1;1702109;Araguaína;0;72039;0;372,4;87,2
38;2000;1;1707405;Esperantina;0;3213;0;89,8;81,7
39;2000;1;1709500;Gurupi;0;36801;0;;
40;2000;1;1716505;Pedro Afonso;0;5847;0;200,3;85,5
41;2000;1;1716604;Peixe;0;5346;0;231,5;82,1
42;2000;1;1718204;Porto Nacional;0;29950;0;271,7;81,1
43;2000;1;1720903;Taguatinga;0;6680;0;268,3;77,2
44;2000;1;1721000;Palmas;0;129424;0;288,3;81,8
45;2000;1;2100501;Alto Parnaíba;0;4381;0;280,8;89,7
46;2000;1;2101202;Bacabal;0;38964;0;308,3;85,4
47;2000;1;2101400;Balsas;0;36996;0;220,9;83
48;2000;1;2101608;Barra do Corda;0;36839;0;175;84,9
49;2000;1;2102804;Carolina;0;9989;0;334,9;81,7
50;2000;1;2103000;Caxias;0;60143;0;243;79,8
51;2000;1;2103208;Chapadinha;0;31620;0;183,2;80,8
52;2000;1;2103505;Colinas;0;16331;0;240,1;83,4
53;2000;1;2105302;Imperatriz;0;110137;0;;
54;2000;1;2111300;São Luís;0;406974;0;267,1;83,9
55;2000;1;2112407;Turiaçu;0;11177;0;268,4;84,9
56;2000;1;2114007;Zé Doca;0;16234;0;221,8;81,6
57;2000;1;2200202;Água Branca;0;7530;0;50,1;73,7
58;2000;1;2201903;Bom Jesus;0;12197;0;163,9;80,1
59;2000;1;2202505;Caracol;0;4510;0;95,8;77
60;2000;1;2203701;Esperantina;0;16255;0;89,8;81,7
61;2000;1;2203909;Floriano;0;26074;0;84,4;80,3
62;2000;1;2207702;Parnaíba;0;64580;0;168;82,5
63;2000;1;2207801;Paulistana;0;10470;0;133,1;83,7
64;2000;1;2208007;Picos;0;36224;0;122,6;72,2
65;2000;1;2208403;Piripiri;0;26741;0;238,1;77,6
66;2000;1;2210003;São João do Piauí;0;9739;0;210;78
67;2000;1;2211001;Teresina;0;355470;0;183,2;79,4
68;2000;1;2300200;Acaraú;0;26163;0;97,5;
